idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
47,,,CL,63.0,G,1.0
23,Natal,Brazil,BR,31.0,G,10.0
50,Osorno,Chile,CL,55.0,M,155.0
48,,,CL,66.0,G,1.0
40,,,,,,
28,Macapa,,BR,,,
73,Frankfurt,Germany,DE,77.0,G,5.0
100,Moscow,Russia,RU,,,
72,Poznan,Poland,PL,79.0,G,5.0
65,,Chile,,,,
72,,Poland,PL,73.0,G,10.0
16,Florianopolis,Brazil,,17.0,G,10.0
31,Fortaleza,Brazil,BR,94.0,G,100.0
47,,,CL,51.0,G,1.0
83,Istanbul,Turkey,TR,,,
76,Paris,France,FR,77.0,G,5.0
73,Frankfurt,Germany,,75.0,G,10.0
55,Valdivia,Chile,,56.0,M,155.0
13,Cuiaba,Brazil,BR,18.0,G,3.0
52,Copiapo,Chile,CL,61.0,G,1.0
76,Paris,France,FR,103.0,G,5.0
6,Belo Horizonte,Brazil,BR,8.0,G,10.0
17,Sao Paulo,Brazil,BR,24.0,G,1.0
72,Poznan,Poland,PL,88.0,G,1.0
34,UACH,Chile,CL,55.0,G,2.0
73,Frankfurt,,DE,98.0,G,10.0
21,Campo Grande,Brazil,BR,,,
94,Madrid,Spain,ES,,,
27,Boa Vista,Brazil,BR,,,
74,Prague,Czech Republic,CZ,92.0,G,5.0
